Anbieter,Anlagen Name,Technologie,Technologie einfach,Anlagenkennzeichnung,Inbetriebnahme,Land,Standort,Bundesland,Eigentümer (Struktur),Betreiber,Instalierte Leistung (Kw) (Höchstleistung),Liefermenge 2018 in MWh,Einheit,Anlage EEG gefördert?
EWS Schönau,Holsfossen  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010012194,2014,,Gausdal kommune; Oppland,,Eidsiva Energi AS > Hauptaktionär Hedmark Fylkeskraft AS > Hauptaktionär Hedmark Fylkeskommune,Eidsiva vannkraft,2200.0,3385,,
EWS Schönau,Istad kraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017557,2013,,Molde kommune; Møre og Romsdal,,Istad Kraft /// Istad Kraft ist eine hundertprozentige Tochtergesellschaft von Istad AS = 100 % Statkraft Industrial Holding AS,Ecohz,4800.0,4809,,
EWS Schönau,Matre Haugsdal ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010007282,2016,,Masfjorden,,Statkraft Industrial Holding AS 49;90 %; Bergen kommune 37;75 %; Askøy kommune 2;48 %; Lindås kommune 1;95 %; Fjell kommune 1;89 %; Sund kommune 1;02 %; Kvam herad 0;90 %; Meland kommune 0;76 %; Radøy kommune 0;74 %; Voss kommune 0;62 %; Øygarden kommune 0;52 %; Austrheim kommune 0;43 %; Vaksdal kommune 0;37 %; Gulen kommune 0;27 %; Høyanger kommune 0;12 %; Fedje kommune 0;12 %; Masfjorden kommune 0;10 %; Granvin herad 0;05 %,BKK Produksjon AS,180000.0,1072,,
EWS Schönau,Nedre Vinstra ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010011975,2014,,Nord-Fron kommune; Oppland,,E-CO Energi 40/60 - 66;67 % / Eidsiva Vannkraft 17/60 - 28;33 % / Stange Energi 3/60 - 5;00 %,Kinect,308000.0,2256,,
EWS Schönau,Øvre Vinstra ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010012057,2016,,Nord-Fron kommune; Oppland,,Opplandskraft DA ein Joint Venture von E-CO Energi AS (Anteil 25%);  Oppland Energi AS der Tochtergesellschaft von E-CO Energi AS (Anteil 25%); Eidsiva Vannkraft AS (Anteil 25 %) und Akershus Energi AS (Anteil 25 %)  Opplandkraft DA: Industrigata 45; 2619 Lillehammer; Norwegen E-CO Energie AS: C. J. Hambros plass 2C; Oslo Oppland Energi AS: Industrigt. 45; Lillehammer Eidsiva Vannkraft AS: Industrigata 45; 2619 Lillehammer Akershus Energi AS: Pausvegen 6; 1927 Rånåsfoss; Norwegen,Ecohz,140000.0,9156,,
EWS Schönau,Rosten  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010020625,2018,,Sel kommune; Oppland,,Das Kraftwerk Rosten befindet sich im Eigentum von Oppland Energi AS (72 Prozent) und AS Eidefoss (28 Prozent). Oppland Energi AS ist im Besitz von E-CO Vannkraft AS (61 Prozent) und Eidsiva Vannkraft AS (39 Prozent). Eidefoss hat die Fallrechte an die Gemeinde Sel übernommen. ,Oppland Energi AS,80000.0,5852,,
EWS Schönau,Seterkraft  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017878,2014,,Sunndal kommune; Møre og Romsdal,,Seterkraft AS: Knut Sæther 41%; Psaktiv AS 13.39%; John Erstad 13.26%; Magnus Edvard Sæther 9%; Ole Petter Sjøholt 8.83%; Ole Anders Husby 8.83%; Gjermund Smistad 5.7%,Seterkraft AS (Registrant: ECOHZ AS),4740.0,9566,,
EWS Schönau,Smådøla kraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010018400,2015,,Smådøla,,Hauptaktionär: Arendals Fossekompani ASA; die wiederum: Ulfoss Invest AS; die wiederum: Vicama AS,Markedskraft AS,13700.0,19588,,
EWS Schönau,Steinåga  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017380,2013,,Steinåga,, SKS Gruppe; die wiederum: Salten Kraftsamband AS; die wiederum: Bodø Kommune ,SKS Handel AS,5400.0,13985,,
EWS Schönau,Steinsland Kraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010007312,2013,,Modalen,,Statkraft Industrial Holding AS 49;90 % Bergen kommune 37;75 % Askøy kommune 2;48 % Lindås kommune 1;95 % Fjell kommune 1;89 % Sund kommune 1;02 % Kvam herad 0;90 % Meland kommune 0;76 % Radøy kommune 0;74 % Voss kommune 0;62 % Øygarden kommune 0;52 % Austrheim kommune 0;43 % Vaksdal kommune 0;37 % Gulen kommune 0;27 % Høyanger kommune 0;12 % Fedje kommune 0;12 % Masfjorden kommune 0;10 % Granvin herad 0;05 %,BKK Produksjon AS,170000.0,4742,,
EWS Schönau,Svartelva  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010009088,2016,,Rissa kommune; Sør-Trøndelag,,Trønderenergi AS > u. a. Melhus kommune; Orkdal Kommune; Kommunal Landspensjonskasse und über 20 weitere Kommunen,TrønderEnergi Kraft AS,14000.0,1767,,
EWS Schönau,Torsnes Kraftverk ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017588,2013,,Veslavatnet ,,Hauptaktionär: Nordkraft AS; die wiederum: Narvik Kommune,Nordkraft Produksjon AS,7400.0,13635,,
EWS Schönau,Venna  ,Unspezifiziertes Wasserkraftwerk,Wasser,_707052300010017564,2013,,Snillfjord kommune; Sør-Trøndelag,,100 % Lars Petter Ven,Venna Kraft AS,2800.0,6364,,
EWS Schönau,Brokke  ,Unspezifiziertes Wasserkraftwerk,Wasser,,2014,,,,,Agder Energi,undefined,15302,,
EWS Schönau,Høgefoss  ,Unspezifiziertes Wasserkraftwerk,Wasser,,1919,,,,Agder Energi Vannkraft AS (100%),Agder Energi Vannkraft AS (100%),undefined,34687,,
EWS Schönau,Holen 3 ,Unspezifiziertes Wasserkraftwerk,Wasser,,1987,,,,Otra Kraft (Agder Energi Vannkraft AS 68;6%; Skagerak Energi 31;4%),Otra Kraft (Agder Energi Vannkraft AS 68;6%; Skagerak Energi 31;4%),undefined,4749,,
EWS Schönau,Holen I-II ,Unspezifiziertes Wasserkraftwerk,Wasser,,1981,,,,Otra Kraft (Agder Energi Vannkraft AS 68;6%; Skagerak Energi 31;4%),Otra Kraft (Agder Energi Vannkraft AS 68;6%; Skagerak Energi 31;4%),undefined,11037,,
EWS Schönau,Hovatn  ,Unspezifiziertes Wasserkraftwerk,Wasser,,1971,,,,Agder Energi Vannkraft AS (100%),Agder Energi Vannkraft AS (100%),undefined,6860,,
EWS Schönau,Iveland  ,Unspezifiziertes Wasserkraftwerk,Wasser,,1949,,,,Agder Energi Vannkraft AS (100%),Agder Energi Vannkraft AS (100%),undefined,347,,
EWS Schönau,Jørundland  ,Unspezifiziertes Wasserkraftwerk,Wasser,,1970,,,,Agder Energi Vannkraft AS (100%),Agder Energi Vannkraft AS (100%),undefined,11718,,
EWS Schönau,Logna  ,Unspezifiziertes Wasserkraftwerk,Wasser,,1961,,,,Agder Energi Vannkraft AS (100%),Agder Energi Vannkraft AS (100%),undefined,8300,,
EWS Schönau,Smeland  ,Unspezifiziertes Wasserkraftwerk,Wasser,,1985,,,,Agder Energi Vannkraft AS (100%),Agder Energi Vannkraft AS (100%),undefined,6314,,
